id,price,bedrooms,bathrooms,area,zip_code,age,grade
7129300520,221900,3,1,1180,98178,65,7
6414100192,538000,3,2.25,2570,98125,69,7
5631500400,180000,2,1,770,98028,87,6
2487200875,604000,4,3,1960,98136,55,7
1954400510,510000,3,2,1680,98074,33,8
7237550310,1.23E+06,4,4.5,5420,98053,19,11
1321400060,257500,3,2.25,1715,98003,25,7
2008000270,291850,3,1.5,1060,98198,57,7
2414600126,229500,3,1,1780,98146,60,7
3793500160,323000,3,2.5,1890,98038,17,7
1736800520,662500,3,2.5,3560,98007,55,8
9212900260,468000,2,1,1160,98115,78,7
114101516,310000,3,1,1430,98028,93,7
6054650070,400000,3,1.75,1370,98074,43,7
1175000570,530000,5,2,1810,98107,120,7
9297300055,650000,4,3,2950,98126,41,9
1875500060,395000,3,2,1890,98019,26,7
6865200140,485000,4,1,1600,98103,104,7
16000397,189000,2,1,1200,98002,99,7
7983200060,230000,3,1,1250,98003,51,7
6300500875,385000,4,1.75,1620,98133,73,7
2524049179,2.00E+06,3,2.75,3050,98040,52,9
7137970340,285000,5,2.5,2270,98092,25,8
8091400200,252700,2,1.5,1070,98030,35,7
3814700200,329000,3,2.25,2450,98030,35,8
1202000200,233000,3,2,1710,98002,79,6
1794500383,937000,3,1.75,2450,98119,105,8
3303700376,667000,3,1,1400,98112,111,8
5101402488,438000,3,1.75,1520,98115,72,7
1873100390,719000,4,2.5,2570,98052,15,8
8562750320,580500,3,2.5,2320,98027,17,8
2426039314,280000,2,1.5,1190,98133,15,7
461000390,687500,4,1.75,2330,98117,91,7
7589200193,535000,3,1,1090,98117,91,8
7955080270,322500,4,2.75,2060,98058,39,7
9547205180,696000,3,2.5,2300,98115,90,8
9435300030,550000,4,1,1660,98052,87,5
2768000400,640000,4,2,2360,98107,116,8
7895500070,240000,4,1,1220,98001,51,7
2078500320,605000,4,2.5,2620,98056,24,8
5547700270,625000,4,2.5,2570,98074,20,9
7766200013,775000,4,2.25,4220,98166,36,8
7203220400,861990,5,2.75,3595,98053,6,9
9270200160,685000,3,1,1570,98119,98,7
1432701230,309000,3,1,1280,98058,61,6
8035350320,488000,3,2.5,3160,98019,17,8
8945200830,210490,3,1,990,98023,54,6
4178300310,785000,4,2.5,2290,98007,39,9
9215400105,450000,3,1.75,1250,98115,67,7
822039084,1.35E+06,3,2.5,2753,98070,67,9
5245600105,228000,3,1,1190,98148,65,7
7231300125,345000,5,2.5,3150,98056,54,8
7518505990,600000,3,1.75,1410,98117,70,7
3626039271,585000,2,1.75,1980,98117,39,7
4217401195,920000,5,2.25,2730,98105,93,8
9822700295,885000,4,2.5,2830,98105,25,9
9478500640,292500,4,2.5,2250,98042,12,7
2799800710,301000,3,2.5,2420,98042,17,8
7922800400,951000,5,3.25,3250,98008,52,8
8079040320,430000,4,3,1850,98059,29,8
1516000055,650000,3,2.25,2150,98166,61,8
9558200045,289000,3,1.75,1260,98148,66,7
5072410070,505000,3,1.75,2519,98166,47,8
9528102996,549000,3,1.75,1540,98115,6,8
1189001180,425000,3,2.25,1660,98122,41,7
3253500160,317625,3,2.75,2770,98144,95,7
3394100030,975000,4,2.5,2720,98004,31,10
3717000160,287000,4,2.5,2240,98001,15,7
1274500060,204000,3,1,1000,98042,52,7
1802000060,1.33E+06,5,2.25,3200,98004,55,8
1525059190,1.04E+06,5,3.25,4770,98005,47,11
1049000060,325000,3,2,1260,98034,48,7
8820901275,571000,4,2,2750,98125,104,7
5416510140,360000,4,2.5,2380,98038,15,8
3444100400,349000,3,1.75,1790,98042,55,7
3276920270,832500,4,4,3430,98075,34,10
4036801170,380000,4,1.75,1760,98008,64,7
2391600320,480000,3,1,1040,98116,79,7
6300000287,410000,3,1,1410,98133,64,7
1531000030,720000,4,2.5,3450,98010,18,10
5104520400,390000,3,2.5,2350,98038,17,8
7437100340,360000,4,2.5,1900,98038,28,7
9418400240,355000,2,1,2020,98118,72,7
1523059105,356000,3,1.5,1680,98059,56,8
1133000671,315000,3,1,960,98125,68,6
4232902595,940000,3,1.5,2140,98119,95,9
2599001200,305000,5,2.25,2660,98092,59,7
3342103156,461000,3,3.25,2770,98056,14,9
1332700270,215000,2,2.25,1610,98056,41,7
3869900162,335000,2,1.75,1030,98136,14,7
2791500270,243500,4,2.5,1980,98023,32,7
5036300431,1.10E+06,5,2.75,3520,98199,19,10
4168000060,153000,3,1,1200,98023,58,7
6021501535,430000,3,1.5,1580,98117,81,8
6021501535,700000,3,1.5,1580,98117,81,8
1483300570,905000,4,2.5,3300,98040,74,7
3422049190,247500,3,1.75,1960,98032,53,7
1099611230,199000,4,1.5,1160,98023,45,7
722079104,314000,3,1.75,1810,98038,40,7
7338200240,437500,3,2.5,2320,98045,28,9
1952200240,850830,3,2.5,2070,98102,110,9
5200100125,555000,3,2,1980,98117,91,7
7214720075,699950,3,2.25,2190,98077,37,8
2450000295,1.09E+06,3,2.5,2920,98004,70,8
6197800045,290000,3,1,1210,98058,66,7
1328310370,375000,3,2.5,2340,98058,42,8
546000875,460000,3,1,1670,98117,81,7
3530510041,188500,2,1.75,1240,98198,35,8
1853000400,680000,4,2.5,3140,98077,29,10
3134100116,470000,5,1.75,2030,98052,78,7
9545230140,597750,4,2.5,2310,98027,36,8
3362400511,570000,3,1.75,1260,98103,115,6
2525310310,272500,3,1.75,1540,98038,40,7
6126500060,329950,3,1.75,2080,98108,49,7
8961960160,480000,4,2.5,3230,98001,19,9
3626039325,740500,3,3.5,4380,98117,120,8
3362400431,518500,3,3.5,1590,98103,10,8
4060000240,205425,2,1,880,98178,75,6
3454800060,171800,4,2,1570,98168,70,6
1695900060,535000,4,1,1610,98144,95,7
7278700070,660000,3,2.5,2400,98177,56,8
6675500070,391500,3,2,1450,98034,33,7
3626039187,395000,2,1,770,98117,67,6
3524049083,445000,4,1.75,2100,98118,96,7
3275860240,770000,3,2.25,2910,98052,30,9
4389200955,1.45E+06,4,2.75,2750,98004,106,8
4058801670,445000,3,2.25,2100,98178,53,8
8732020310,260000,4,2.25,2160,98023,42,8
2331300505,822500,5,3.5,2320,98103,94,7
7853210060,430000,4,2.5,2070,98065,16,7
3668000070,212000,3,1.75,1060,98092,34,7
9545240070,660500,4,2.25,2010,98027,34,8
1243100136,784000,3,3.5,3950,98052,31,9
8929000270,453246,3,2.5,2010,98029,6,8
2767602356,675000,4,3.5,2140,98107,15,9
921049315,199000,3,1.75,1320,98003,64,7
3655000070,220000,4,1.75,2020,98003,52,7
4027700812,452000,4,2.25,2590,98028,52,8
3992700335,382500,2,1,1190,98125,39,6
2767603505,519950,3,2.25,1170,98107,6,8
4232901525,665000,2,1,1110,98119,95,7
1777500060,527700,5,2.5,2820,98006,52,8
1432900240,205000,3,1,1610,98058,58,7
6140100875,420000,3,1,1060,98133,97,7
6071600370,500000,4,2.25,2030,98006,59,8
1526069017,921500,4,2.5,3670,98077,26,9
809001525,890000,4,1,2550,98109,115,8
3224079105,430000,2,2.5,2420,98027,13,7
8075400570,258000,5,2,2260,98032,60,8
1994200024,511000,3,1,1430,98103,73,7
3362900810,532170,3,2,1360,98103,30,8
1324300398,560000,3,1,1110,98107,73,7
537000445,282950,3,1,1250,98003,66,7
7855801670,2.25E+06,4,3.25,5180,98006,14,12
7920100045,350000,1,1,700,98115,78,7
8960000030,215000,3,1,1180,98058,53,7
6388930390,650000,5,3.5,3960,98056,24,9
8731900200,320000,4,2.75,2640,98023,53,8
8029200135,247000,3,2,1270,98022,104,7
1081200350,320000,4,1.75,1760,98059,52,8
84000105,255000,5,2.25,2060,98146,58,7
3756500060,438000,3,1.75,1780,98034,58,7
7215720160,900000,3,2.5,3400,98075,20,10
3574800520,441000,3,2.75,1910,98034,41,7
2617300160,420000,3,2,2020,98027,45,7
2558660270,370000,3,1.75,1580,98034,44,7
2009000370,269950,2,1.75,1340,98198,71,5
1836980160,807100,4,2.5,2680,98006,21,9
3261020370,653000,3,2.5,2680,98034,41,8
1755700060,371500,3,2,1370,98133,56,7
4330600435,284000,3,1.75,1560,98166,66,7
9542800700,272000,3,1.75,2160,98023,42,7
1999700045,313000,3,1.5,1340,98133,65,7
1762600070,917500,4,2.5,3880,98033,36,10
1687900520,673000,4,2.25,2590,98006,40,8
7234600798,425000,3,2.5,1120,98122,12,8
3881900445,399950,5,2.75,1970,98144,34,7
2254502445,385000,3,1,1220,98122,119,6
5437810320,269950,3,1.5,1950,98022,45,7
9158100075,330000,2,1,1350,98177,71,7
3830630310,260000,3,2.5,1670,98030,32,7
8123100045,470000,4,3,2380,98126,95,7
3127200041,589000,4,3,2440,98034,59,7
6661200320,163500,2,1.5,1050,98038,24,7
11510310,835000,4,2.75,3130,98052,27,9
825059270,1.10E+06,5,3,4090,98033,34,10
8731951370,269000,4,1.75,1490,98023,51,8
1954440060,560000,3,2.5,1900,98074,33,8
2264500350,615000,4,1,1330,98103,119,6
1115810060,585188,3,2.25,2230,98052,45,8
9477200200,305000,3,1.75,1650,98034,43,7
1432600560,166950,3,1,1190,98058,61,6
2287000060,799000,3,2.5,2140,98040,61,8
3663500060,400000,3,2.5,2180,98133,58,7
3996900125,230000,3,1,1060,98155,72,7
7796450200,256883,3,2.5,1690,98023,17,8
7549802535,423000,4,2,1970,98108,100,7
3278600320,465000,3,2.5,2150,98126,13,8
2824079053,440000,3,2.5,1910,98024,23,7
1222069094,385000,3,1.75,1350,98038,51,7
3542300060,210000,3,1,860,98056,77,6
2222059065,297000,3,2.5,1940,98042,26,8
7551300060,470000,3,1,1010,98107,68,7
100600550,226500,3,1.5,1300,98023,44,7
3211100860,274250,3,1,910,98059,58,6
3456000310,840000,4,1.75,2480,98040,54,9
9526600140,677900,3,2.5,2440,98052,10,8
7465900060,425000,3,1,1010,98116,105,7
1222000055,180250,2,0.75,900,98166,79,6
6300000550,464000,6,3,2300,98133,100,7
2310030510,320000,4,2.25,1550,98038,27,8
1025049114,625504,3,2.25,1270,98105,6,8
8677300550,592500,4,2.5,2240,98074,37,9
4014400292,465000,3,2.5,2714,98001,15,9
1102000196,477000,4,2.75,1720,98118,42,8
257000138,280000,2,1,850,98168,97,6
46100204,1.51E+06,5,3,3300,98040,63,9
1909600046,445838,3,2.5,2250,98146,20,8
1250202145,1.07E+06,2,2.25,3900,98144,73,8
7611200125,467000,2,1.5,1320,98177,73,8
5611500140,686000,4,2.5,2760,98075,21,10
7138000260,279950,3,2,1750,98198,59,7
626059335,527000,4,2.25,2330,98011,33,8
1922059282,325000,3,2.25,2220,98030,54,8
705700390,328000,3,2.25,2020,98038,26,7
7454001200,390000,3,2.25,1250,98146,78,7
8682281200,479950,2,2,1510,98053,15,8
7972000200,264950,4,2.25,1720,98023,42,7
722059070,235000,3,1,1430,98031,59,7
7202340400,516500,3,2.5,1480,98053,16,7
8096000060,655000,2,1.75,1450,98166,105,7
2424000060,500000,4,2.75,2280,98059,60,7
9264902050,315000,6,2.75,2940,98023,42,8
943100260,213000,2,1,1000,98024,59,6
3677400445,475000,3,1.5,2480,98108,73,7
1762600320,1.03E+06,5,4,3760,98033,37,10
4058000060,416000,3,2,2220,98010,44,7
7228500560,410000,4,1,1970,98122,116,7
326069104,800000,3,3.5,3830,98077,27,10
5152100060,472000,6,2.5,4410,98003,55,9
3584000310,225000,3,1.75,1430,98003,52,7
8150100045,210000,2,1,830,98126,80,6
1868901275,455000,2,1,1430,98115,95,7
6131600075,225000,3,1,1300,98002,66,6
9468200125,480000,2,1,1030,98103,102,7
8029510030,363000,3,2.5,2740,98023,30,9
2025069065,2.40E+06,4,2.5,3650,98074,20,9
7899800890,181000,2,1.5,720,98106,66,6
3021059276,250000,4,2,2010,98002,44,7
3797001895,481000,3,1.75,1560,98103,102,6
3832710960,260000,3,2,1810,98032,42,7
1310430400,455000,4,2.5,3360,98058,19,9
1422300030,415000,3,2.25,1510,98045,29,8
1105000588,349500,3,1,1400,98118,67,7
3830630060,245000,3,2.5,1730,98030,33,7
5101404898,592500,2,2,1420,98115,92,7
7972601890,385000,4,1.75,2360,98106,65,7
5127001620,315000,3,1.75,1580,98059,46,7
9407100800,255000,3,1,1230,98045,41,7
1873100060,693000,4,2.5,2460,98052,14,8
8722101360,780000,3,1,1660,98112,109,8
8644000060,237000,3,1.75,1270,98198,60,7
3325069129,525000,3,2.25,2100,98074,41,10
1400300055,425000,2,1,770,98144,90,5
2123039032,369900,1,0.75,760,98070,84,5
8078560140,290000,4,2.5,1700,98031,32,7
3438500192,285000,3,1,1120,98106,66,7
7974200510,415000,2,1,1070,98115,83,7
2557000400,272500,3,2.5,2070,98023,41,8
7960900060,2.90E+06,4,3.25,5050,98004,38,11
4054500390,1.37E+06,4,4.75,5310,98077,31,11
6378500125,436000,2,1,1040,98133,81,7
1745100140,210000,3,1,1700,98003,53,7
2976800796,236000,3,1,1300,98178,59,7
4235400186,331000,3,1.75,1080,98199,66,7
4215100060,365000,3,2.5,2653,98031,14,8
9189700045,450000,3,2,2290,98058,60,8
1126049053,770000,4,2.75,3820,98028,6,9
2022069200,455000,4,2.5,2210,98038,23,8
9412900055,405000,3,1.75,2390,98118,112,6
1722059235,304900,4,1.75,2600,98031,51,7
6874200960,170000,2,1,860,98178,89,6
7424700045,2.05E+06,5,3,3830,98122,115,9
7202360350,780000,4,2.5,3500,98053,15,9
5634500392,330000,3,3,2420,98028,32,8
1509500060,370000,4,2.5,2720,98030,28,9
7214810350,467000,5,2.25,2500,98072,41,7
6647200060,405000,3,1.75,1670,98034,40,7
9552700140,675000,5,2.25,2900,98006,35,8
2200500350,500000,2,1,1640,98006,66,7
6113400046,389999,4,2.5,1890,98166,52,7
6619910140,630000,4,1.75,2950,98034,45,8
1115450240,360000,4,2.5,2160,98001,28,9
6073240060,580000,4,3,3280,98056,34,8
9297300045,550000,3,2,1970,98126,91,8
9510920070,879000,4,2.5,3360,98075,26,10
5468730030,265000,3,2,1320,98042,27,7
8079030390,446500,3,2.5,2650,98059,30,8
600000152,404000,3,1.5,2030,98108,57,7
1840000030,267500,3,1.75,1590,98188,63,7
3225069065,3.08E+06,4,5,4550,98074,18,10
3260800030,335000,3,2.5,2440,98003,22,8
2747100024,576000,3,2.5,1940,98117,72,7
5104530560,208633,3,2.5,2040,98038,14,8
4330600350,315000,3,2.25,2200,98166,56,7
5016001535,725000,3,1.75,1920,98112,107,8
7280300196,550000,4,2.75,1800,98177,55,8
8651520400,610750,4,2.25,2180,98074,36,8
7171200445,550700,2,1,1010,98105,112,6
3204800200,665000,4,2.75,3320,98056,60,8
3416600800,834000,4,2.5,2370,98144,92,8
7994700030,201000,5,1.75,1660,98065,105,6
1860600135,2.38E+06,5,2.5,3650,98119,99,10
4139480200,1.38E+06,4,3.25,4290,98006,23,11
4139480200,1.40E+06,4,3.25,4290,98006,23,11
1328320800,305000,4,2.25,1950,98058,41,8
7771300125,487000,3,2,2590,98133,72,8
3422059208,390000,3,2.5,1930,98042,32,8
9521101455,548000,2,1,1470,98103,104,7
4337000335,268750,4,1,800,98166,77,6
325059286,819900,5,2.75,3150,98052,7,9
2597650240,520000,3,2.25,2030,98027,36,8
3353400435,230000,3,2,1450,98001,17,7
7972000240,240000,3,1.75,1510,98023,51,7
